data,text,filename
https://bcreatesystems.com,Visit Bcreate Systems,bcreate_website
mailto:info@bcreatesystems.com,Email Us,contact_email
tel:+1-555-0123,Call Us Today,phone_contact
https://github.com/bcreatesystems,Our GitHub,github_profile
"Contact Info: John Doe, Manager, Bcreate Systems",Business Card,business_card
https://maps.google.com/?q=Bcreate+Systems,Find Our Location,location_map
"WiFi Network: BcreateGuest, Password: Welcome123",Guest WiFi,wifi_access
https://linkedin.com/company/bcreate-systems,Connect on LinkedIn,linkedin_page
https://bcreatesystems.com/products,Our Products,products_page
https://bcreatesystems.com/support,Get Support,support_page
